tmax,Predicted_ARIMA,Predicted_rf
17.5,17.73451642847487,14.282249988725122
17.7,17.329478934162285,15.35677745507136
15.1,17.593998344641307,15.172029135281162
17.0,15.6821277921297,16.282814641360197
14.5,17.20028506493923,16.274383059155866
15.0,15.106560417093666,16.602883788951825
15.7,15.574690693166074,15.57307026791993
13.6,15.88920491950574,16.13907844520992
16.5,14.217445387954887,17.181523070844104
17.6,16.412831155938377,15.644517364647715
17.5,16.948289353931525,16.20280086594533
18.2,16.93168766269876,16.193910186861956
18.5,17.607532719705752,14.723947213155249
17.0,17.91191996177993,14.809076706169686
19.6,16.927897128146213,16.785327017372346
20.5,19.02057422949825,14.406533738677906
18.5,19.568324013256657,14.742436500335478
19.5,18.243353376680098,16.56094020614478
17.2,19.255046414107156,15.13328528673636
17.1,17.518443358033966,15.97443979149562
20.0,17.598562517764623,15.017544364168218
20.5,19.618703652248065,16.96854964005682
20.6,19.788363851801083,17.96186289026559
21.7,19.996991230488327,17.734613668829535
17.0,20.956517216792943,16.880375911548242
16.1,17.568802666270877,15.808436298743349
16.2,17.24054152507733,14.951580801335249
14.0,17.10845307916638,16.98480638336928
14.2,15.236391494971166,16.28116592809826
12.7,15.287153639125906,16.840417223496917
11.2,13.874615015238533,16.49578444937628
11.2,12.614594047123985,14.518415234135935
15.1,12.39882458035559,15.568204003897794
16.0,14.963286277119096,15.656614699550282
14.1,15.260914362827636,15.013470664324034
14.0,13.95930147775186,13.364385082837375
12.1,14.118417642343125,13.03951149536403
9.5,12.695371126782842,12.057613918642838
14.0,10.816478640627825,11.80923807644722
9.2,14.061268868829494,12.604405773616527
12.0,10.038081145823902,13.414561865538989
11.6,12.380484530301985,12.922714051102163
12.7,11.696643011531483,12.630472411325067
11.6,12.52448865258882,12.090647338148765
11.0,11.645067641916556,11.822614635355674
10.6,11.303928524534031,11.7651982983067
9.1,10.990998327206409,10.763905722138322
10.1,9.822736732048925,11.316182675306395
12.0,10.526279187663206,10.575297162586189
11.1,11.713765934290805,11.471581622847602
11.5,10.928409975210343,10.866124231485765
11.2,11.361463406226733,9.96312460588669
8.0,11.135053370054589,9.80852659934153
11.5,8.821178860000959,9.42274908886357
7.0,11.519554355656576,9.350313204411004
9.1,7.831910233412957,10.31147820300828
7.7,9.628318419032421,10.144713670160364
5.0,8.239909691182033,9.167706046915939
3.0,6.250141271683623,8.725722626003542
2.2,4.725129413844412,8.537223515454787
5.5,3.8891490352301332,8.849269398840528
7.1,5.964876575968308,8.319339452533134
7.2,6.68348501292662,8.488256572057761
5.5,6.701291455225114,8.32946770487242
5.2,5.566880657533528,7.3818936520733365
5.6,5.503366505503346,6.941641793229054
1.2,5.750086939500365,6.79134132925015
-0.2,2.4219560282707984,6.110882119729014
-0.7,1.522602028860923,7.338479106645753
1.7,0.8467907679904267,8.204427548936616
5.2,2.2645826624428413,8.065642532451681
4.2,4.452292379703501,7.256189202466283
1.0,3.548904617747885,6.544527130286421
1.5,1.4608097426426945,7.342619471127131
9.0,2.039355364579823,7.253704290341156
11.7,7.382047653034768,8.469018819618663
9.1,9.024735311666737,8.480150984816904
10.6,7.527911771209677,7.813752758285369
13.1,9.31514508053757,9.22573605339758
11.2,11.342120632310124,9.740461750467775
10.0,10.142276185055362,9.136993920928608
9.7,9.729726905158582,7.888653161021629
9.1,9.702935083174582,8.54214204041469
11.6,9.290278164244235,8.850679774445565
11.5,11.147541735346177,9.411274570066412
13.1,10.934274390988808,9.486136778276885
15.7,12.273710905960934,9.030529697942793
13.5,14.244051390613162,9.064194453420209
11.6,12.73337245309884,8.065947270730248
10.1,11.758873441322425,8.509167459586912
13.1,10.806207929292064,7.778000942493454
12.1,12.990233654239322,7.912805551908455
11.6,11.971330896228862,9.5884670076105
10.6,11.739191259808509,9.31077403340434
9.7,11.016249372407643,8.890473669647278
9.0,10.34613515612864,8.364123004639302
12.3,9.753097328401326,8.412683385585773
12.4,12.063708564204605,8.993678899259955
11.2,11.858876060698298,9.355446702044006
10.2,11.104614537917321,7.907810235520848
12.2,10.515356385437165,8.100179425703951
8.1,12.012094085346398,7.875039988818542
6.2,8.828815732247783,7.807945893452366
4.5,7.658645736825131,8.802301290756432
5.0,6.217883584724879,8.478451713303475
5.5,6.312343060511402,7.548164819916028
6.5,6.286010530812032,7.453524819593712
4.0,6.766591581050279,7.840831875024458
4.5,4.74837158337801,6.72298769258939
4.5,5.179353776374802,7.80518184402739
3.0,4.9497973138943765,7.307386974483623
2.5,3.7248557465399794,8.049292671186763
8.2,3.320728011188092,7.432925547494252
6.5,7.364368594802799,7.193272755535955
5.2,5.740333955140947,6.952193633737178
9.0,5.155260752107337,8.431012668556964
8.6,8.10582325699873,8.440738867275773
9.7,7.652691811569241,8.104614432171585
9.2,8.75400524024302,7.83293738997811
10.6,8.51926192266638,7.762261700881334
11.7,9.782488440849846,8.57442230644092
9.7,10.664053159152006,7.862663982140848
8.5,9.3457580948556,8.251473671027204
7.7,8.759247841053583,8.189654093592347
5.7,8.224707221558218,7.679695314033454
6.5,6.6936589109324665,7.843871598740543
7.1,7.230213352458913,7.62503578499484
9.6,7.399222052078068,8.233959442975593
9.0,9.10411534711591,8.293402211277622
8.5,8.533185375132286,8.141008527494012
11.0,8.348347194338716,7.977707896957859
12.0,10.284861818377149,6.816357747253322
12.0,10.952289089352679,7.909021547790456
11.6,11.123548478048171,8.769215860659187
11.6,11.05790826476453,9.360610455501199
12.0,11.241188981058617,8.98715404560614
11.0,11.630411861995446,9.845326960053734
9.2,10.947873117854252,9.924258087182952
8.5,9.736183138641405,9.943327104851805
9.5,9.264821689453028,9.979828199584114
8.7,9.874785180296671,8.40509234392789
7.7,9.082953827692396,9.517243385119086
